,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,artist_id,track_name,genre
0,0.45,0.936,6,-3.987,1,0.0666,5.28e-05,0.0543,0.064,0.53,147.964,audio_features,0gmmDw2VIZn8BsGq1mwYlK,spotify:track:0gmmDw2VIZn8BsGq1mwYlK,https://api.spotify.com/v1/tracks/0gmmDw2VIZn8BsGq1mwYlK,https://api.spotify.com/v1/audio-analysis/0gmmDw2VIZn8BsGq1mwYlK,251493,4,Alien Ant Farm,6TZdvF1kFzwnQLgHQynzsO,Homage,alt-rock
1,0.446,0.762,2,-8.971,1,0.0422,0.000103,7.2e-05,0.26,0.276,98.993,audio_features,2c5wml8wsBnPfNSbCZ574T,spotify:track:2c5wml8wsBnPfNSbCZ574T,https://api.spotify.com/v1/tracks/2c5wml8wsBnPfNSbCZ574T,https://api.spotify.com/v1/audio-analysis/2c5wml8wsBnPfNSbCZ574T,359520,4,Filter,01WjpKiWVNurV5hjIadB8C,Take a Picture,alt-rock
2,0.769,0.559,1,-6.267,1,0.0465,0.169,0.0387,0.141,0.861,129.074,audio_features,6P98yCrDAOq32mjR2iCfDI,spotify:track:6P98yCrDAOq32mjR2iCfDI,https://api.spotify.com/v1/tracks/6P98yCrDAOq32mjR2iCfDI,https://api.spotify.com/v1/audio-analysis/6P98yCrDAOq32mjR2iCfDI,205060,4,The Presidents Of The United States Of America,1lZvg4fNAqHoj6I9N8naBM,Slow Slow Fly,alt-rock
3,0.579,0.349,8,-10.153,1,0.0268,0.436,0.0178,0.134,0.514,97.972,audio_features,2Cp1j2mF1DZ3XN4ubgaotI,spotify:track:2Cp1j2mF1DZ3XN4ubgaotI,https://api.spotify.com/v1/tracks/2Cp1j2mF1DZ3XN4ubgaotI,https://api.spotify.com/v1/audio-analysis/2Cp1j2mF1DZ3XN4ubgaotI,184360,4,Stephen Malkmus & The Jicks,7wyRA7deGRxozTyBc6QXPe,Planetary Motion,alt-rock
4,0.292,0.867,6,-4.862,1,0.0861,0.0705,2.84e-05,0.439,0.637,210.488,audio_features,0XZwpwtV9Vk48Ykzb7KIsj,spotify:track:0XZwpwtV9Vk48Ykzb7KIsj,https://api.spotify.com/v1/tracks/0XZwpwtV9Vk48Ykzb7KIsj,https://api.spotify.com/v1/audio-analysis/0XZwpwtV9Vk48Ykzb7KIsj,210693,4,The Apples In Stereo,5KIrQe9pb7tn8y775PsoAP,Energy,alt-rock
5,0.406,0.632,4,-5.115,1,0.0344,0.236,0.0,0.18,0.109,149.258,audio_features,4dOXc4Suk5eig0jiCqCN5Y,spotify:track:4dOXc4Suk5eig0jiCqCN5Y,https://api.spotify.com/v1/tracks/4dOXc4Suk5eig0jiCqCN5Y,https://api.spotify.com/v1/audio-analysis/4dOXc4Suk5eig0jiCqCN5Y,249440,4,Gavin Rossdale,6lBam1B1t8wpnH7pJHWnj6,Love Remains The Same,alt-rock
6,0.534,0.774,8,-5.144,1,0.027,0.0721,6.91e-06,0.0623,0.756,148.161,audio_features,4WXuT5zntCZ1uNXUjwy4sa,spotify:track:4WXuT5zntCZ1uNXUjwy4sa,https://api.spotify.com/v1/tracks/4WXuT5zntCZ1uNXUjwy4sa,https://api.spotify.com/v1/audio-analysis/4WXuT5zntCZ1uNXUjwy4sa,317187,4,The Flys,3brlG1zNhqIkYhdneCaPVi,Got You (Where I Want You) (Re-Recorded / Remastered),alt-rock
7,0.52,0.504,4,-6.713,1,0.0247,0.11,0.0,0.144,0.164,82.366,audio_features,1uIsJdRjJ1G2GEWZFjtpKq,spotify:track:1uIsJdRjJ1G2GEWZFjtpKq,https://api.spotify.com/v1/tracks/1uIsJdRjJ1G2GEWZFjtpKq,https://api.spotify.com/v1/audio-analysis/1uIsJdRjJ1G2GEWZFjtpKq,211067,4,Guided By Voices,4oV5EVJ0XFWsJKoOvdRPvl,Hold On Hope,alt-rock
8,0.629,0.802,0,-4.348,1,0.13,0.00719,0.0,0.316,0.66,151.03,audio_features,06QooyUa24W60Y4w8SgDwD,spotify:track:06QooyUa24W60Y4w8SgDwD,https://api.spotify.com/v1/tracks/06QooyUa24W60Y4w8SgDwD,https://api.spotify.com/v1/audio-analysis/06QooyUa24W60Y4w8SgDwD,177360,4,OK Go,3hozsZ9hqNq7CoBGYNlFTz,Turn up the Radio,alt-rock
9,0.222,0.575,9,-8.251,0,0.0379,0.367,0.000159,0.216,0.149,111.685,audio_features,6JqmArpMrkb125GqWsBAPg,spotify:track:6JqmArpMrkb125GqWsBAPg,https://api.spotify.com/v1/tracks/6JqmArpMrkb125GqWsBAPg,https://api.spotify.com/v1/audio-analysis/6JqmArpMrkb125GqWsBAPg,436240,4,John Frusciante,7rN3Agir6FaZNfhf5V7mfN,Central,alt-rock
