,track_uri,track_name,artist_name,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
0,spotify:track:59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),Future,"('atl hip hop', 'rap', 'southern hip hop', 'trap')",0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,audio_features,59nOXPmaKlBfGMDeOVGrIK,https://api.spotify.com/v1/tracks/59nOXPmaKlBfGMDeOVGrIK,https://api.spotify.com/v1/audio-analysis/59nOXPmaKlBfGMDeOVGrIK,189893,4
1,spotify:track:2KdKh9vHbKW0tZLqtpxxI0,Honest (feat. Don Toliver),Justin Bieber,"('canadian pop', 'pop')",0.81,0.655,8,-6.779,0,0.0698,0.127,8.16e-05,0.105,0.809,150.002,audio_features,2KdKh9vHbKW0tZLqtpxxI0,https://api.spotify.com/v1/tracks/2KdKh9vHbKW0tZLqtpxxI0,https://api.spotify.com/v1/audio-analysis/2KdKh9vHbKW0tZLqtpxxI0,193322,4
2,spotify:track:6LL5S3DGrUJ6cZRuDefguP,Lie Again,Giveon,"('pop', 'r&b')",0.431,0.349,7,-9.426,1,0.0325,0.434,7.02e-05,0.241,0.165,62.627,audio_features,6LL5S3DGrUJ6cZRuDefguP,https://api.spotify.com/v1/tracks/6LL5S3DGrUJ6cZRuDefguP,https://api.spotify.com/v1/audio-analysis/6LL5S3DGrUJ6cZRuDefguP,187027,3
3,spotify:track:6w93UfN5MeXXQTrVIf5V6x,How (feat. Roddy Ricch),Ella Mai,"('dance pop', 'pop', 'pop rap', 'r&b', 'uk contemporary r&b', 'urban contemporary')",0.464,0.445,4,-8.507,0,0.238,0.215,0.0,0.495,0.181,94.14,audio_features,6w93UfN5MeXXQTrVIf5V6x,https://api.spotify.com/v1/tracks/6w93UfN5MeXXQTrVIf5V6x,https://api.spotify.com/v1/audio-analysis/6w93UfN5MeXXQTrVIf5V6x,218320,4
4,spotify:track:6pyM30WDpG70VTfwoQg4m2,everything,Kehlani,"('alternative r&b', 'dance pop', 'pop', 'pop rap', 'r&b')",0.388,0.448,8,-5.221,0,0.0341,0.851,0.0,0.302,0.397,142.342,audio_features,6pyM30WDpG70VTfwoQg4m2,https://api.spotify.com/v1/tracks/6pyM30WDpG70VTfwoQg4m2,https://api.spotify.com/v1/audio-analysis/6pyM30WDpG70VTfwoQg4m2,207551,5
5,spotify:track:5uXO1sjZ7VbNKexKaFRna3,Please Do Not Lean (feat. BADBADNOTGOOD),Daniel Caesar,"('canadian contemporary r&b', 'pop', 'r&b')",0.67,0.41,1,-13.444,1,0.0381,0.241,8.55e-06,0.167,0.46,127.972,audio_features,5uXO1sjZ7VbNKexKaFRna3,https://api.spotify.com/v1/tracks/5uXO1sjZ7VbNKexKaFRna3,https://api.spotify.com/v1/audio-analysis/5uXO1sjZ7VbNKexKaFRna3,240938,4
6,spotify:track:0R3BfnrLdW13mopXeKOTQZ,Another,Muni Long,"('indie r&b', 'pop', 'pop r&b', 'pop rap', 'r&b')",0.77,0.581,11,-5.307,0,0.0908,0.452,0.0,0.128,0.284,120.019,audio_features,0R3BfnrLdW13mopXeKOTQZ,https://api.spotify.com/v1/tracks/0R3BfnrLdW13mopXeKOTQZ,https://api.spotify.com/v1/audio-analysis/0R3BfnrLdW13mopXeKOTQZ,152175,4
7,spotify:track:6itJR6bgCqET35rCJFnULf,Cater,Tink,"('chicago rap', 'drill', 'pop', 'pop r&b', 'pop rap', 'r&b', 'trap queen')",0.619,0.452,11,-9.079,0,0.205,0.232,1.23e-06,0.259,0.195,127.897,audio_features,6itJR6bgCqET35rCJFnULf,https://api.spotify.com/v1/tracks/6itJR6bgCqET35rCJFnULf,https://api.spotify.com/v1/audio-analysis/6itJR6bgCqET35rCJFnULf,164544,4
8,spotify:track:5qidBQqsjdwewlQaw16o3L,Tough Love (feat. Moneybagg Yo),Mary J. Blige,"('dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary')",0.688,0.59,9,-7.535,0,0.329,0.329,0.0,0.105,0.316,96.975,audio_features,5qidBQqsjdwewlQaw16o3L,https://api.spotify.com/v1/tracks/5qidBQqsjdwewlQaw16o3L,https://api.spotify.com/v1/audio-analysis/5qidBQqsjdwewlQaw16o3L,273794,4
9,spotify:track:5ChrCVSERccPyn3p2Clsum,Insecure,Roy Woods,"('canadian contemporary r&b', 'canadian hip hop', 'pop rap', 'r&b', 'trap', 'trap soul')",0.756,0.484,4,-9.727,0,0.0497,0.311,0.0,0.11,0.414,92.056,audio_features,5ChrCVSERccPyn3p2Clsum,https://api.spotify.com/v1/tracks/5ChrCVSERccPyn3p2Clsum,https://api.spotify.com/v1/audio-analysis/5ChrCVSERccPyn3p2Clsum,188133,4
