,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,artist_id,track_name,genre
0,0.475,0.941,6,-3.969,0,0.0493,0.000173,0.0,0.0444,0.509,88.95,audio_features,2tlETUiIcT9IiQYDUdnj4B,spotify:track:2tlETUiIcT9IiQYDUdnj4B,https://api.spotify.com/v1/tracks/2tlETUiIcT9IiQYDUdnj4B,https://api.spotify.com/v1/audio-analysis/2tlETUiIcT9IiQYDUdnj4B,178853,4,Three Days Grace,2xiIXseIJcq3nG7C8fHeBj,Painkiller,alt-rock
1,0.565,0.657,8,-8.526,1,0.0273,0.0587,0.000151,0.331,0.361,136.05,audio_features,3fsnRK4dEe7NykXL5anAGp,spotify:track:3fsnRK4dEe7NykXL5anAGp,https://api.spotify.com/v1/tracks/3fsnRK4dEe7NykXL5anAGp,https://api.spotify.com/v1/audio-analysis/3fsnRK4dEe7NykXL5anAGp,228800,4,Ween,3u1ulLq00Y3bfmq9FfjsPu,Mutilated Lips,alt-rock
2,0.57,0.866,2,-6.106,0,0.0281,9.87e-05,0.000355,0.144,0.358,98.551,audio_features,1G8g2LoR09NtrG4y8NQcJL,spotify:track:1G8g2LoR09NtrG4y8NQcJL,https://api.spotify.com/v1/tracks/1G8g2LoR09NtrG4y8NQcJL,https://api.spotify.com/v1/audio-analysis/1G8g2LoR09NtrG4y8NQcJL,217333,4,Faith No More,6GbCJZrI318Ybm8mY36Of5,Ashes to Ashes,alt-rock
3,0.392,0.42,11,-12.559,0,0.0413,0.831,0.000499,0.112,0.28,123.183,audio_features,5iZcoTR04zBUw9Bk8zKhtT,spotify:track:5iZcoTR04zBUw9Bk8zKhtT,https://api.spotify.com/v1/tracks/5iZcoTR04zBUw9Bk8zKhtT,https://api.spotify.com/v1/audio-analysis/5iZcoTR04zBUw9Bk8zKhtT,470654,4,Nick Cave & The Bad Seeds,4UXJsSlnKd7ltsrHebV79Q,Higgs Boson Blues,alt-rock
4,0.483,0.818,11,-7.666,1,0.0444,0.114,0.0,0.367,0.691,175.668,audio_features,4GiVcDqNQI0fc0yYuRGH9m,spotify:track:4GiVcDqNQI0fc0yYuRGH9m,https://api.spotify.com/v1/tracks/4GiVcDqNQI0fc0yYuRGH9m,https://api.spotify.com/v1/audio-analysis/4GiVcDqNQI0fc0yYuRGH9m,219467,4,Eve 6,4Eqd24yS5YcxI8b6Xfuwr8,Inside Out,alt-rock
5,0.301,0.823,1,-4.072,1,0.0433,0.000144,0.000309,0.0833,0.372,152.017,audio_features,1sjrDQXqAa9V07FjKIlAQ4,spotify:track:1sjrDQXqAa9V07FjKIlAQ4,https://api.spotify.com/v1/tracks/1sjrDQXqAa9V07FjKIlAQ4,https://api.spotify.com/v1/audio-analysis/1sjrDQXqAa9V07FjKIlAQ4,236867,4,Fuel,0EyuKHE1AeE9lWUF8mzKVp,Hemorrhage (In My Hands),alt-rock
6,0.55,0.521,1,-4.699,1,0.0267,0.359,0.0459,0.0811,0.259,139.934,audio_features,3IvMYe5ZQNi9OJSlfjVou0,spotify:track:3IvMYe5ZQNi9OJSlfjVou0,https://api.spotify.com/v1/tracks/3IvMYe5ZQNi9OJSlfjVou0,https://api.spotify.com/v1/audio-analysis/3IvMYe5ZQNi9OJSlfjVou0,229213,4,Sloan,1ahN3WDDULKaAQs7ZUrGNP,Three Sisters,alt-rock
7,0.39,0.692,5,-8.842,1,0.05,0.718,0.0219,0.0538,0.851,122.752,audio_features,2NZDGltjD2gQoF5B0TUJdT,spotify:track:2NZDGltjD2gQoF5B0TUJdT,https://api.spotify.com/v1/tracks/2NZDGltjD2gQoF5B0TUJdT,https://api.spotify.com/v1/audio-analysis/2NZDGltjD2gQoF5B0TUJdT,244093,3,Badly Drawn Boy,244fcyNSuyhbRlMGfMbYrO,Once Around The Block,alt-rock
8,0.6,0.811,5,-7.693,1,0.0788,0.0558,6.82e-06,0.109,0.622,124.303,audio_features,2GHYJ0dhVds3PODKnTdiGE,spotify:track:2GHYJ0dhVds3PODKnTdiGE,https://api.spotify.com/v1/tracks/2GHYJ0dhVds3PODKnTdiGE,https://api.spotify.com/v1/audio-analysis/2GHYJ0dhVds3PODKnTdiGE,196116,4,Toad The Wet Sprocket,4j7EVY3kuDwLPfD2jfC7LC,All I Want,alt-rock
9,0.343,0.798,9,-5.962,0,0.0545,0.00148,0.000344,0.11,0.0549,147.769,audio_features,5CCHfpaujMGW3JfAmxWWT9,spotify:track:5CCHfpaujMGW3JfAmxWWT9,https://api.spotify.com/v1/tracks/5CCHfpaujMGW3JfAmxWWT9,https://api.spotify.com/v1/audio-analysis/5CCHfpaujMGW3JfAmxWWT9,365480,4,Deftones,6Ghvu1VvMGScGpOUJBAHNH,Tempest,alt-rock
