,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre
2267,0.557,0.369,11,-11.743,0,0.0461,0.7390000000000001,0.0,0.118,0.143,124.903,4,122723,Dark Trap
2545,0.436,0.534,7,-7.802,1,0.0512,0.0011,0.52,0.1119999999999999,0.0924,128.21,4,126000,Dark Trap
4159,0.535,0.765,10,-11.12,0,0.103,0.00162,0.772,0.185,0.585,119.986,4,249208,Dark Trap
3549,0.662,0.8740000000000001,1,-5.901,1,0.0368,0.00218,0.934,0.139,0.0475,135.141,4,206241,Dark Trap
1606,0.797,0.44,2,-6.377000000000001,1,0.2019999999999999,0.0332,3.99e-05,0.14,0.31,190.006,4,116224,Dark Trap
230,0.648,0.5429999999999999,4,-9.082,0,0.213,0.126,0.0,0.1009999999999999,0.192,159.92700000000002,4,216008,Dark Trap
2328,0.653,0.47,2,-12.464,1,0.0753,0.251,1.47e-05,0.238,0.433,123.204,4,132667,Dark Trap
23,0.8290000000000001,0.59,9,-7.818,0,0.263,0.0391,0.0107,0.114,0.332,112.97,4,127128,Dark Trap
2564,0.265,0.96,1,-6.254,0,0.856,0.0107,0.39,0.1159999999999999,0.0414,159.804,5,212312,Dark Trap
69,0.8809999999999999,0.903,8,-0.955,1,0.0813,0.267,0.00253,0.109,0.272,119.994,4,131500,Dark Trap
1338,0.8190000000000001,0.541,6,-7.11,1,0.293,0.238,7.01e-06,0.105,0.584,160.037,4,79500,Dark Trap
1242,0.512,0.883,4,-6.406000000000001,0,0.332,0.0008609999999999,0.0,0.6629999999999999,0.246,124.932,4,92690,Dark Trap
2830,0.634,0.653,5,-9.245,0,0.0289999999999999,0.00755,0.3979999999999999,0.15,0.31,130.059,4,273115,Dark Trap
838,0.662,0.4679999999999999,6,-14.143,0,0.053,0.211,1.44e-05,0.107,0.258,164.968,4,140643,Dark Trap
3383,0.513,0.611,5,-8.135,0,0.0451,0.00133,0.0659,0.0942,0.245,182.783,3,315098,Dark Trap
1867,0.578,0.0855,3,-17.234,1,0.0316,0.946,0.6629999999999999,0.0855,0.505,151.191,4,168152,Dark Trap
100,0.8320000000000001,0.802,11,-4.039,0,0.22,0.3429999999999999,0.00361,0.139,0.178,220.012,4,166798,Dark Trap
472,0.616,0.598,5,-6.688,0,0.0329,0.0254,4.8e-06,0.115,0.345,165.88,4,98360,Dark Trap
1744,0.562,0.5489999999999999,9,-6.394,1,0.0254,0.0279999999999999,0.0,0.309,0.314,145.02,4,148867,Dark Trap
2805,0.376,0.7609999999999999,1,-9.321,1,0.0577,0.0339,0.8220000000000001,0.381,0.0376,112.501,3,201639,Dark Trap
1461,0.882,0.593,3,-8.582,0,0.481,0.516,0.000271,0.716,0.745,141.97299999999998,4,165724,Dark Trap
2191,0.8590000000000001,0.433,6,-11.345999999999998,1,0.0663,0.195,0.0,0.0906,0.7070000000000001,141.981,4,108251,Dark Trap
252,0.581,0.662,9,-5.239,1,0.303,0.0153,0.0,0.111,0.434,186.046,4,189487,Dark Trap
2531,0.4379999999999999,0.625,10,-5.473,1,0.0441,0.0085799999999999,0.156,0.0948,0.0416,122.078,4,208525,Dark Trap
1421,0.701,0.4639999999999999,5,-8.952,1,0.1009999999999999,0.773,0.755,0.119,0.359,140.955,4,127080,Dark Trap
1773,0.728,0.653,1,-8.584,1,0.11,0.0375,0.28,0.128,0.1889999999999999,170.053,4,130439,Dark Trap
2015,0.4629999999999999,0.637,2,-8.147,1,0.0343,0.000215,0.0,0.0626,0.11,120.086,4,244137,Dark Trap
2124,0.78,0.654,10,-7.641,0,0.076,0.1119999999999999,0.0,0.12,0.713,140.007,4,109819,Dark Trap
2619,0.6,0.835,8,-6.066,0,0.0901,0.000831,0.0036899999999999,0.3379999999999999,0.186,117.988,4,268513,Dark Trap
1029,0.7859999999999999,0.627,10,-12.759,0,0.215,0.1639999999999999,0.184,0.3779999999999999,0.5,150.90200000000002,4,114964,Dark Trap
3279,0.5660000000000001,0.926,8,-5.707999999999999,1,0.0408,0.354,0.888,0.125,0.568,140.01,4,336000,Dark Trap
1514,0.575,0.909,7,-2.134,1,0.0749,0.107,0.000535,0.272,0.177,114.803,4,170356,Dark Trap
2357,0.6970000000000001,0.794,9,-9.091,1,0.0636,0.779,0.158,0.106,0.3,116.034,4,109113,Dark Trap
296,0.7390000000000001,0.405,0,-10.897,1,0.0852,0.442,0.211,0.158,0.127,157.09,4,147987,Dark Trap
829,0.675,0.92,8,-6.142,1,0.41,0.00596,0.0184,0.8079999999999999,0.1119999999999999,154.939,4,133494,Dark Trap
2288,0.795,0.568,5,-7.817,0,0.142,0.0541,0.0,0.108,0.478,136.173,4,198944,Dark Trap
731,0.7829999999999999,0.643,6,-8.068,1,0.113,0.25,0.0,0.248,0.414,136.054,4,156176,Dark Trap
1102,0.5589999999999999,0.5720000000000001,10,-7.053999999999999,1,0.0328,0.0975,0.00183,0.0902,0.114,180.03,4,154667,Dark Trap
2707,0.419,0.598,2,-11.979,1,0.107,0.0261,0.3879999999999999,0.245,0.0875,120.034,4,176000,Dark Trap
807,0.738,0.85,8,-7.181,1,0.0575,0.115,5.04e-06,0.248,0.0381,133.967,4,150448,Dark Trap
4141,0.652,0.74,10,-6.515,1,0.111,0.00135,0.956,0.0453,0.5379999999999999,161.98,4,157074,Dark Trap
2086,0.682,0.758,0,-4.869,1,0.0429,0.0365,0.0,0.0635,0.0811,112.05,3,109348,Dark Trap
1736,0.721,0.628,9,-6.871,1,0.0601,0.4679999999999999,0.0,0.11,0.7509999999999999,134.964,4,130325,Dark Trap
